path	colname
..\results\results_pos_postprocessed.xlsx	Korean
..\results\results_pos_postprocessed.xlsx	Turkish
..\results\results_pos_postprocessed.xlsx	Arabic
..\results\results_pos_postprocessed.xlsx	Hebrew
..\results\results_pos_postprocessed.xlsx	Baseline
..\results\results_sentiment.xlsx	Language
..\results\results_sentiment.xlsx	English
..\results\results_sentiment.xlsx	Basque
..\results\results_sentiment.xlsx	Finnish
..\results\results_sentiment.xlsx	Vietnamese
..\results\results_sentiment.xlsx	Croatian
..\results\results_sentiment.xlsx	Chinese
..\results\results_sentiment.xlsx	Bulgarian
..\results\results_sentiment.xlsx	Slovak
..\results\results_sentiment.xlsx	Thai
..\results\results_sentiment.xlsx	Korean
..\results\results_sentiment.xlsx	Hebrew
..\results\results_sentiment.xlsx	Arabic
..\results\results_sentiment_postprocessed.xlsx	Group
..\results\results_sentiment_postprocessed.xlsx	Test\Train
..\results\results_sentiment_postprocessed.xlsx	Bulgarian
..\results\results_sentiment_postprocessed.xlsx	English
..\results\results_sentiment_postprocessed.xlsx	Slovak
..\results\results_sentiment_postprocessed.xlsx	Croatian
..\results\results_sentiment_postprocessed.xlsx	Chinese
..\results\results_sentiment_postprocessed.xlsx	Vietnamese
..\results\results_sentiment_postprocessed.xlsx	Thai
..\results\results_sentiment_postprocessed.xlsx	Finnish
..\results\results_sentiment_postprocessed.xlsx	Basque
..\results\results_sentiment_postprocessed.xlsx	Korean
..\results\results_sentiment_postprocessed.xlsx	Arabic
..\results\results_sentiment_postprocessed.xlsx	Hebrew
..\results\results_sentiment_postprocessed.xlsx	Baseline
..\results\sentiment_within_cross_f1.xlsx	Group
..\results\sentiment_within_cross_f1.xlsx	Language
..\results\sentiment_within_cross_f1.xlsx	Cross-Language-F1
..\results\sentiment_within_cross_f1.xlsx	Within-Language-F1
..\results\sentiment_within_cross_f1.xlsx	Mean-F1-Over-Language
..\results\transfer_loss_groupvgroup_pos.xlsx	Train-Group
..\results\transfer_loss_groupvgroup_pos.xlsx	Test-Group
..\results\transfer_loss_groupvgroup_pos.xlsx	Within-Accuracy
..\results\transfer_loss_groupvgroup_pos.xlsx	Cross-Accuracy
..\results\transfer_loss_groupvgroup_pos.xlsx	Transfer-Loss
..\results\transfer_loss_groupvgroup_pos.xlsx	Relative-Transfer-Loss
..\results\balanced_length\baselines_pos_balanced_length.xlsx	Language
..\results\balanced_length\baselines_pos_balanced_length.xlsx	Baseline
..\results\balanced_length\baselines_sentiment_balanced_length.xlsx	Language
..\results\balanced_length\baselines_sentiment_balanced_length.xlsx	Baseline
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Train Group
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Train Language
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Test Language
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Cross
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Test Group
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Within
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Transfer
..\results\balanced_length\melted_results_pos_balanced_length.xlsx	Group Difference
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Train Group
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Train Language
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Test Language
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Cross
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Test Group
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Within
